genename	celltype1	celltype2	celltype3
CALB1	FPP_11	PFPP11	
CALCR	FPP_11	PFPP11	
CALHM6	FPP_11	PFPP11	
CALR	FPP_11	PFPP11	
CAMKK2	FPP_11	PFPP11	
CAPZA1	FPP_11	PFPP11	
CARS	FPP_11	PFPP11	
CBWD2	FPP_11	PFPP11	
CCDC25	FPP_11	PFPP11	
CCDC32	FPP_11	PFPP11	
CCDC58	FPP_11	PFPP11	
CCDC90B	FPP_11	PFPP11	
CCHCR1	FPP_11	PFPP11	
CCPG1	FPP_11	PFPP11	
CCT3	FPP_11	PFPP11	
CCZ1	FPP_11	PFPP11	
CD59	FPP_11	PFPP11	
CDK10	FPP_11	PFPP11	
CENPU	FPP_11	PFPP11	
CHAMP1	FPP_11	PFPP11	
CHCHD2	FPP_11	PFPP11	
CHD1	FPP_11	PFPP11	
CHIC2	FPP_11	PFPP11	
CHRNA3	FPP_11	PFPP11	
CHST12	FPP_11	PFPP11	
CLEC18C	FPP_11	PFPP11	
CNN2	FPP_11	PFPP11	
CNN3	FPP_11	PFPP11	
CNOT10	FPP_11	PFPP11	
COG6	FPP_11	PFPP11	
COLEC11	FPP_11	PFPP11	
COPB2	FPP_11	PFPP11	
COX11	FPP_11	PFPP11	
CPNE1	FPP_11	PFPP11	
CRYZ	FPP_11	PFPP11	
CSNK2A2	FPP_11	PFPP11	
CTSV	FPP_11	PFPP11	
CUL3	FPP_11	PFPP11	
CXCL17	FPP_11	PFPP11	
CXCL2	FPP_11	PFPP11	
CYB5A	FPP_11	PFPP11	
DAZAP2	FPP_11	PFPP11	
DCAKD	FPP_11	PFPP11	
DCC	FPP_11	PFPP11	
DCUN1D4	FPP_11	PFPP11	
DDB2	FPP_11	PFPP11	
DDX50	FPP_11	PFPP11	
DDX51	FPP_11	PFPP11	
DECR2	FPP_11	PFPP11	
DEUP1	FPP_11	PFPP11	
DHFR	FPP_11	PFPP11	
DHRS4L2	FPP_11	PFPP11	
DKK2	FPP_11	PFPP11	
DKKL1	FPP_11	PFPP11	
DMAP1	FPP_11	PFPP11	
DNAJC15	FPP_11	PFPP11	
DOT1L	FPP_11	PFPP11	
DPYSL2	FPP_11	PFPP11	
DSCC1	FPP_11	PFPP11	
DUS3L	FPP_11	PFPP11	
DUT	FPP_11	PFPP11	
EAPP	FPP_11	PFPP11	
EFCAB2	FPP_11	PFPP11	
EFHC1	FPP_11	PFPP11	
EIF2AK1	FPP_11	PFPP11	
ELP5	FPP_11	PFPP11	
ENOSF1	FPP_11	PFPP11	
ENTPD6	FPP_11	PFPP11	
EPC2	FPP_11	PFPP11	
EPDR1	FPP_11	PFPP11	
ETHE1	FPP_11	PFPP11	
EYA3	FPP_11	PFPP11	
FAAP20	FPP_11	PFPP11	
FAM189B	FPP_11	PFPP11	
FBH1	FPP_11	PFPP11	
FBXO22	FPP_11	PFPP11	
FEZ2	FPP_11	PFPP11	
FIBP	FPP_11	PFPP11	
FLYWCH1	FPP_11	PFPP11	
FOXRED1	FPP_11	PFPP11	
FRA10AC1	FPP_11	PFPP11	
FSCN1	FPP_11	PFPP11	
FTSJ3	FPP_11	PFPP11	
FUBP1	FPP_11	PFPP11	
G0S2	FPP_11	PFPP11	
GAA	FPP_11	PFPP11	
GALK1	FPP_11	PFPP11	
GBP4	FPP_11	PFPP11	
GCC2	FPP_11	PFPP11	
GGACT	FPP_11	PFPP11	
GGH	FPP_11	PFPP11	
GLB1L	FPP_11	PFPP11	
GLI4	FPP_11	PFPP11	
GLTP	FPP_11	PFPP11	
GM2A	FPP_11	PFPP11	
GNB5	FPP_11	PFPP11	
GNPTG	FPP_11	PFPP11	
GPR137B	FPP_11	PFPP11	
GPX8	FPP_11	PFPP11	
GREB1	FPP_11	PFPP11	
GRTP1	FPP_11	PFPP11	
GSR	FPP_11	PFPP11	
GSS	FPP_11	PFPP11	
GSTM1	FPP_11	PFPP11	
GSTM3	FPP_11	PFPP11	
GSTM4	FPP_11	PFPP11	
GTF2H2	FPP_11	PFPP11	
GTPBP8	FPP_11	PFPP11	
HBS1L	FPP_11	PFPP11	
HDHD2	FPP_11	PFPP11	
HEBP1	FPP_11	PFPP11	
HES7	FPP_11	PFPP11	
HIST1H2BN	FPP_11	PFPP11	
HLA-A	FPP_11	PFPP11	
HLA-C	FPP_11	PFPP11	
HLA-DPA1	FPP_11	PFPP11	
HLA-DRB5	FPP_11	PFPP11	
HMBOX1	FPP_11	PFPP11	
HPF1	FPP_11	PFPP11	
HPSE2	FPP_11	PFPP11	
HSD17B12	FPP_11	PFPP11	
HSPA1B	FPP_11	PFPP11	
HSPB2	FPP_11	PFPP11	
IFIT1	FPP_11	PFPP11	
IFITM3	FPP_11	PFPP11	
IGFBP6	FPP_11	PFPP11	
IGSF10	FPP_11	PFPP11	
IPP	FPP_11	PFPP11	
IRAK4	FPP_11	PFPP11	
ISL2	FPP_11	PFPP11	
ITGB6	FPP_11	PFPP11	
KATNAL2	FPP_11	PFPP11	
KDM7A	FPP_11	PFPP11	
KIAA1143	FPP_11	PFPP11	
KNOP1	FPP_11	PFPP11	
KPNA6	FPP_11	PFPP11	
KRT79	FPP_11	PFPP11	
KRTCAP3	FPP_11	PFPP11	
LDHC	FPP_11	PFPP11	
LIMCH1	FPP_11	PFPP11	
LRCH1	FPP_11	PFPP11	
LRPAP1	FPP_11	PFPP11	
LRRC69	FPP_11	PFPP11	
LRRIQ3	FPP_11	PFPP11	
LRWD1	FPP_11	PFPP11	
LSM10	FPP_11	PFPP11	
LSM6	FPP_11	PFPP11	
LYPLAL1	FPP_11	PFPP11	
MAPK3	FPP_11	PFPP11	
MDH2	FPP_11	PFPP11	
ME2	FPP_11	PFPP11	
MED29	FPP_11	PFPP11	
MED31	FPP_11	PFPP11	
MED8	FPP_11	PFPP11	
METTL26	FPP_11	PFPP11	
METTL27	FPP_11	PFPP11	
METTL2B	FPP_11	PFPP11	
MFGE8	FPP_11	PFPP11	
MGMT	FPP_11	PFPP11	
MICA	FPP_11	PFPP11	
MMP24OS	FPP_11	PFPP11	
MPHOSPH6	FPP_11	PFPP11	
MRNIP	FPP_11	PFPP11	
MRPL14	FPP_11	PFPP11	
MRPL19	FPP_11	PFPP11	
MRPL21	FPP_11	PFPP11	
MRPL28	FPP_11	PFPP11	
MTG2	FPP_11	PFPP11	
MUS81	FPP_11	PFPP11	
MZT2A	FPP_11	PFPP11	
NADK2	FPP_11	PFPP11	
NAPRT	FPP_11	PFPP11	
NDUFAF8	FPP_11	PFPP11	
NDUFS4	FPP_11	PFPP11	
NDUFS5	FPP_11	PFPP11	
NELFA	FPP_11	PFPP11	
NFIC	FPP_11	PFPP11	
NLRP2	FPP_11	PFPP11	
NME7	FPP_11	PFPP11	
NMRK1	FPP_11	PFPP11	
NOMO1	FPP_11	PFPP11	
NOP16	FPP_11	PFPP11	
NPIPB2	FPP_11	PFPP11	
NQO2	FPP_11	PFPP11	
NRXN1	FPP_11	PFPP11	
NSMAF	FPP_11	PFPP11	
NT5C3A	FPP_11	PFPP11	
NT5C3B	FPP_11	PFPP11	
NTN1	FPP_11	PFPP11	
NTPCR	FPP_11	PFPP11	
NUB1	FPP_11	PFPP11	
NUDT2	FPP_11	PFPP11	
OCIAD1	FPP_11	PFPP11	
OSGEP	FPP_11	PFPP11	
PCBP2	FPP_11	PFPP11	
PCDHB8	FPP_11	PFPP11	
PCDHGA3	FPP_11	PFPP11	
PDCD6IP	FPP_11	PFPP11	
PDGFRA	FPP_11	PFPP11	
PDHB	FPP_11	PFPP11	
PDZD8	FPP_11	PFPP11	
PEX6	FPP_11	PFPP11	
PGBD5	FPP_11	PFPP11	
PGGT1B	FPP_11	PFPP11	
PHLDA2	FPP_11	PFPP11	
PIGO	FPP_11	PFPP11	
PMS1	FPP_11	PFPP11	
PNRC2	FPP_11	PFPP11	
POGLUT1	FPP_11	PFPP11	
POMZP3	FPP_11	PFPP11	
POU6F2	FPP_11	PFPP11	
PPAT	FPP_11	PFPP11	
PPIE	FPP_11	PFPP11	
PPP2R3C	FPP_11	PFPP11	
PRCD	FPP_11	PFPP11	
PRPF4	FPP_11	PFPP11	
PRPH2	FPP_11	PFPP11	
PRSS35	FPP_11	PFPP11	
PTGR1	FPP_11	PFPP11	
RAB42	FPP_11	PFPP11	
RABL2A	FPP_11	PFPP11	
RAC1	FPP_11	PFPP11	
RAD51D	FPP_11	PFPP11	
RALBP1	FPP_11	PFPP11	
RBM23	FPP_11	PFPP11	
RCN3	FPP_11	PFPP11	
RGS14	FPP_11	PFPP11	
RMI2	FPP_11	PFPP11	
RNF181	FPP_11	PFPP11	
RPF2	FPP_11	PFPP11	
RPH3AL	FPP_11	PFPP11	
RPL12	FPP_11	PFPP11	
RPL14	FPP_11	PFPP11	
RPL36AL	FPP_11	PFPP11	
RPL8	FPP_11	PFPP11	
RPL9	FPP_11	PFPP11	
RPS16	FPP_11	PFPP11	
RPS23	FPP_11	PFPP11	
SAAL1	FPP_11	PFPP11	
SCG3	FPP_11	PFPP11	
SDR39U1	FPP_11	PFPP11	
SEC23B	FPP_11	PFPP11	
SELL	FPP_11	PFPP11	
SETD9	FPP_11	PFPP11	
SFXN2	FPP_11	PFPP11	
SH3BGRL3	FPP_11	PFPP11	
SHMT1	FPP_11	PFPP11	
SIAH3	FPP_11	PFPP11	
SLC1A6	FPP_11	PFPP11	
SLC22A15	FPP_11	PFPP11	
SLC25A24	FPP_11	PFPP11	
SLC26A7	FPP_11	PFPP11	
SLC27A2	FPP_11	PFPP11	
SLC2A12	FPP_11	PFPP11	
SLC35A1	FPP_11	PFPP11	
SLC35B4	FPP_11	PFPP11	
