genename	celltype1	celltype2	celltype3
CYCS	PFPP11		
CYGB	PFPP11		
CYP1A1	PFPP11		
CYP27C1	PFPP11		
CYP2R1	PFPP11		
CYP4F22	PFPP11		
CYTL1	PFPP11		
DAB1	PFPP11		
DACT2	PFPP11		
DAPL1	PFPP11		
DARS2	PFPP11		
DBNDD1	PFPP11		
DBNL	PFPP11		
DCAF12	PFPP11		
DCAF6	PFPP11		
DCDC2B	PFPP11		
DCDC2C	PFPP11		
DCLK2	PFPP11		
DCLRE1A	PFPP11		
DCTN1	PFPP11		
DCXR	PFPP11		
DDAH2	PFPP11		
DDIT3	PFPP11		
DDOST	PFPP11		
DDTL	PFPP11		
DDX17	PFPP11		
DDX18	PFPP11		
DDX42	PFPP11		
DECR1	PFPP11		
DEGS2	PFPP11		
DGCR6	PFPP11		
DGLUCY	PFPP11		
DHODH	PFPP11		
DHX32	PFPP11		
DHX58	PFPP11		
DISP1	PFPP11		
DKK1	PFPP11		
DMAC2L	PFPP11		
DMC1	PFPP11		
DMRT1	PFPP11		
DMRTA1	PFPP11		
DMRTA2	PFPP11		
DMXL2	PFPP11		
DNAJB6	PFPP11		
DNAJC11	PFPP11		
DNAJC16	PFPP11		
DNAJC22	PFPP11		
DOLPP1	PFPP11		
DPH7	PFPP11		
DPYSL4	PFPP11		
DSTYK	PFPP11		
DTX3	PFPP11		
DTYMK	PFPP11		
DUOX1	PFPP11		
DUSP2	PFPP11		
DUSP22	PFPP11		
DUSP23	PFPP11		
DUSP4	PFPP11		
DYNC1I2	PFPP11		
EBAG9	PFPP11		
ECHDC2	PFPP11		
EEF1D	PFPP11		
EFNA4	PFPP11		
EGR4	PFPP11		
EIF2B1	PFPP11		
EIF4ENIF1	PFPP11		
EIF5	PFPP11		
EIF5A2	PFPP11		
ELL	PFPP11		
ELMSAN1	PFPP11		
ELOVL5	PFPP11		
ELOVL7	PFPP11		
ELSPBP1	PFPP11		
EMB	PFPP11		
EMID1	PFPP11		
ENDOG	PFPP11		
ENOX1	PFPP11		
ENTPD8	PFPP11		
EPB41L2	PFPP11		
EPHB2	PFPP11		
EPHX2	PFPP11		
ERICH3	PFPP11		
ERICH5	PFPP11		
ERMAP	PFPP11		
ESPNL	PFPP11		
ESR1	PFPP11		
ESR2	PFPP11		
ESRRA	PFPP11		
ETFDH	PFPP11		
EXOSC3	PFPP11		
EYA2	PFPP11		
F10	PFPP11		
F7	PFPP11		
FAH	PFPP11		
FAHD1	PFPP11		
FAM118A	PFPP11		
FAM136A	PFPP11		
FAM161A	PFPP11		
FAM181B	PFPP11		
FAM185A	PFPP11		
FAM207A	PFPP11		
FAM20C	PFPP11		
FAM214B	PFPP11		
FAM227A	PFPP11		
FAM229B	PFPP11		
FAM3C	PFPP11		
FAM72A	PFPP11		
FANCF	PFPP11		
FARP2	PFPP11		
FBP1	PFPP11		
FBXL18	PFPP11		
FBXO10	PFPP11		
FBXO17	PFPP11		
FBXO42	PFPP11		
FBXO8	PFPP11		
FCAR	PFPP11		
FCF1	PFPP11		
FER	PFPP11		
FERMT1	PFPP11		
FIGNL1	PFPP11		
FOLR1	PFPP11		
FOXD4	PFPP11		
FOXM1	PFPP11		
FOXO6	PFPP11		
FOXR1	PFPP11		
FPGT-TNNI3K	PFPP11		
FSCN2	PFPP11		
FSCN3	PFPP11		
FSIP1	PFPP11		
FSTL3	PFPP11		
FUT11	PFPP11		
FXR2	PFPP11		
FXYD3	PFPP11		
FYTTD1	PFPP11		
G3BP2	PFPP11		
G6PC3	PFPP11		
GAL	PFPP11		
GALNT14	PFPP11		
GALNT7	PFPP11		
GANAB	PFPP11		
GBF1	PFPP11		
GCAT	PFPP11		
GCLM	PFPP11		
GCNT1	PFPP11		
GCSH	PFPP11		
GFM1	PFPP11		
GGT1	PFPP11		
GGT7	PFPP11		
GHRL	PFPP11		
GIPC2	PFPP11		
GIPR	PFPP11		
GLDC	PFPP11		
GLI3	PFPP11		
GLIPR2	PFPP11		
GLOD4	PFPP11		
GLRX2	PFPP11		
GMPPA	PFPP11		
GNAZ	PFPP11		
GNB1L	PFPP11		
GNE	PFPP11		
GNGT1	PFPP11		
GNL3	PFPP11		
GOLGA6L4	PFPP11		
GOLT1A	PFPP11		
GOLT1B	PFPP11		
GON7	PFPP11		
GPATCH2L	PFPP11		
GPNMB	PFPP11		
GPR107	PFPP11		
GPR156	PFPP11		
GPR75	PFPP11		
GPR89A	PFPP11		
GPRIN1	PFPP11		
GRAMD4	PFPP11		
GREB1L	PFPP11		
GRIK2	PFPP11		
GRINA	PFPP11		
GRM6	PFPP11		
GSPT1	PFPP11		
GSTM2	PFPP11		
GSTM5	PFPP11		
GSTZ1	PFPP11		
GTF2IRD1	PFPP11		
GTF2IRD2B	PFPP11		
GYPC	PFPP11		
HADH	PFPP11		
HADHA	PFPP11		
HAUS3	PFPP11		
HCRT	PFPP11		
HERPUD1	PFPP11		
HEXB	PFPP11		
HEXIM2	PFPP11		
HGF	PFPP11		
HIBCH	PFPP11		
HINT2	PFPP11		
HIPK2	PFPP11		
HIST1H2BJ	PFPP11		
HIST2H2BF	PFPP11		
HLA-B	PFPP11		
HLA-DPB1	PFPP11		
HMGB2	PFPP11		
HMGXB3	PFPP11		
HNMT	PFPP11		
HNRNPD	PFPP11		
HNRNPH1	PFPP11		
HNRNPK	PFPP11		
HNRNPM	PFPP11		
HNRNPUL1	PFPP11		
HOMER2	PFPP11		
HOMER3	PFPP11		
HPS5	PFPP11		
HRAS	PFPP11		
HRH3	PFPP11		
HSBP1L1	PFPP11		
HSD17B3	PFPP11		
HSD17B4	PFPP11		
HSD17B7	PFPP11		
HSPB11	PFPP11		
HTR1B	PFPP11		
HTR1D	PFPP11		
HYAL1	PFPP11		
HYDIN	PFPP11		
IBA57	PFPP11		
IBTK	PFPP11		
ICAM2	PFPP11		
ID1	PFPP11		
IFI27L1	PFPP11		
IFT122	PFPP11		
IFT81	PFPP11		
IGFBP4	PFPP11		
IGFBP5	PFPP11		
IGSF11	PFPP11		
IKBKB	PFPP11		
IL11RA	PFPP11		
IL17D	PFPP11		
IL17RB	PFPP11		
IL4I1	PFPP11		
ILK	PFPP11		
INPP5F	PFPP11		
INTS3	PFPP11		
INVS	PFPP11		
IQCC	PFPP11		
IRF2BP1	PFPP11		
IRF2BP2	PFPP11		
IRX5	PFPP11		
ISLR2	PFPP11		
ISM1	PFPP11		
ISM2	PFPP11		
ITFG1	PFPP11		
ITGA10	PFPP11		
ITGA8	PFPP11		
ITGB3BP	PFPP11		
ITGB4	PFPP11		
ITLN2	PFPP11		
JAKMIP1	PFPP11		
JAM2	PFPP11		
JOSD1	PFPP11		
JPH2	PFPP11		
KANK2	PFPP11		
KAT2B	PFPP11		
KAT8	PFPP11		
KATNBL1	PFPP11		
KCNG2	PFPP11		
KCNH3	PFPP11		
KCNJ13	PFPP11		
KCNJ6	PFPP11		
KCNK1	PFPP11		
KCTD2	PFPP11		
KCTD5	PFPP11		
KDM4C	PFPP11		
KEAP1	PFPP11		
KIAA0825	PFPP11		
KIAA1211	PFPP11		
KIAA1841	PFPP11		
KIF15	PFPP11		
KIF1B	PFPP11		
KIF5B	PFPP11		
KIF9	PFPP11		
KLF4	PFPP11		
KLHDC10	PFPP11		
KLHL25	PFPP11		
KLHL7	PFPP11		
KLK10	PFPP11		
KLRG1	PFPP11		
KRT19	PFPP11		
KRT222	PFPP11		
KRT4	PFPP11		
KRT7	PFPP11		
KRT8	PFPP11		
KRTCAP2	PFPP11		
KYAT3	PFPP11		
LACC1	PFPP11		
LANCL2	PFPP11		
LARGE1	PFPP11		
LARP4	PFPP11		
LARP4B	PFPP11		
LCLAT1	PFPP11		
LCN1	PFPP11		
LEFTY2	PFPP11		
LGALS8	PFPP11		
LHFPL3	PFPP11		
LIN52	PFPP11		
LIPA	PFPP11		
LMBRD1	PFPP11		
LMCD1	PFPP11		
LMO3	PFPP11		
LMX1B	PFPP11		
LOXL1	PFPP11		
LPAR2	PFPP11		
LPP	PFPP11		
LRMDA	PFPP11		
LRP10	PFPP11		
LRP3	PFPP11		
LRP6	PFPP11		
LRPPRC	PFPP11		
LRRC27	PFPP11		
LRRC37A2	PFPP11		
LRRC49	PFPP11		
LRRC73	PFPP11		
LRRIQ4	PFPP11		
LRRTM2	PFPP11		
LSM4	PFPP11		
LY6K	PFPP11		
LYG2	PFPP11		
LYN	PFPP11		
MAATS1	PFPP11		
MAF1	PFPP11		
MAFB	PFPP11		
MAN2B2	PFPP11		
MAP11	PFPP11		
MAP2K4	PFPP11		
MAPK1	PFPP11		
MATN2	PFPP11		
MBOAT1	PFPP11		
MCM2	PFPP11		
MCM4	PFPP11		
MCMDC2	PFPP11		
MCUR1	PFPP11		
MDH1B	PFPP11		
MEAK7	PFPP11		
MED13	PFPP11		
MED17	PFPP11		
MED19	PFPP11		
MED21	PFPP11		
MED30	PFPP11		
MEF2A	PFPP11		
MEIS1	PFPP11		
METAP1	PFPP11		
METTL24	PFPP11		
MFF	PFPP11		
MFNG	PFPP11		
MFSD1	PFPP11		
MFSD4B	PFPP11		
MGAT5B	PFPP11		
MGST3	PFPP11		
MICB	PFPP11		
MICU1	PFPP11		
MIEF2	PFPP11		
MINDY3	PFPP11		
MIS18A	PFPP11		
MKI67	PFPP11		
MLKL	PFPP11		
MLLT1	PFPP11		
MLST8	PFPP11		
MMADHC	PFPP11		
MMP11	PFPP11		
MND1	PFPP11		
MOV10L1	PFPP11		
MPHOSPH8	PFPP11		
MRM3	PFPP11		
MRPL35	PFPP11		
MRPL39	PFPP11		
MRPL44	PFPP11		
MRPL51	PFPP11		
MRPS14	PFPP11		
MRPS18B	PFPP11		
MSS51	PFPP11		
MT1E	PFPP11		
MT1H	PFPP11		
MT2A	PFPP11		
MTBP	PFPP11		
MTG1	PFPP11		
MTIF2	PFPP11		
MTMR7	PFPP11		
MTR	PFPP11		
MTRNR2L3	PFPP11		
MTRNR2L4	PFPP11		
MTRNR2L5	PFPP11		
MUL1	PFPP11		
MUTYH	PFPP11		
MVB12A	PFPP11		
MX1	PFPP11		
MXRA8	PFPP11		
MYBPHL	PFPP11		
MYCBP	PFPP11		
MYL9	PFPP11		
MYLK	PFPP11		
MYO18B	PFPP11		
MYO3A	PFPP11		
MYOD1	PFPP11		
MZF1	PFPP11		
N4BP2	PFPP11		
NAAA	PFPP11		
NANOS1	PFPP11		
NARF	PFPP11		
NARS	PFPP11		
NAT10	PFPP11		
NAT16	PFPP11		
NAXD	PFPP11		
NBEAL2	PFPP11		
NCKAP1	PFPP11		
NCOA2	PFPP11		
NCOA5	PFPP11		
NDC1	PFPP11		
NDUFA2	PFPP11		
NDUFA6	PFPP11		
NDUFAB1	PFPP11		
NDUFB3	PFPP11		
NDUFB9	PFPP11		
NDUFS2	PFPP11		
NECAB2	PFPP11		
NECTIN1	PFPP11		
NEIL2	PFPP11		
NEK4	PFPP11		
NEK9	PFPP11		
NFATC2IP	PFPP11		
NHLRC1	PFPP11		
NHLRC4	PFPP11		
NID1	PFPP11		
NIPA1	PFPP11		
NIPA2	PFPP11		
NKAIN1	PFPP11		
NKD2	PFPP11		
NLE1	PFPP11		
NLRP1	PFPP11		
NME4	PFPP11		
NME6	PFPP11		
NOL6	PFPP11		
NOS1AP	PFPP11		
NPAT	PFPP11		
NPHP1	PFPP11		
NPIPB15	PFPP11		
NPIPB5	PFPP11		
NPR1	PFPP11		
NPRL3	PFPP11		
NRGN	PFPP11		
NRN1	PFPP11		
NSG1	PFPP11		
NT5C2	PFPP11		
NTRK2	PFPP11		
NTRK3	PFPP11		
NUAK2	PFPP11		
NUDT15	PFPP11		
NUDT16L1	PFPP11		
NUGGC	PFPP11		
NUP50	PFPP11		
NUP54	PFPP11		
NUP58	PFPP11		
NUP88	PFPP11		
NUP93	PFPP11		
ODF2	PFPP11		
ODR4	PFPP11		
OGFRL1	PFPP11		
OLA1	PFPP11		
OLFM1	PFPP11		
OLFM3	PFPP11		
OPA3	PFPP11		
OPRL1	PFPP11		
OS9	PFPP11		
OTX1	PFPP11		
OXCT1	PFPP11		
OXGR1	PFPP11		
OXSR1	PFPP11		
P2RX7	PFPP11		
P3H2	PFPP11		
PAAF1	PFPP11		
PABPC1	PFPP11		
PALMD	PFPP11		
PARP2	PFPP11		
PASK	PFPP11		
PAX7	PFPP11		
PAX9	PFPP11		
PBX4	PFPP11		
PCDH17	PFPP11		
PCDH8	PFPP11		
PCDHA13	PFPP11		
PCDHA7	PFPP11		
PCDHB12	PFPP11		
PCDHB5	PFPP11		
PCDHGC3	PFPP11		
PDCD1	PFPP11		
PDE10A	PFPP11		
PDE1C	PFPP11		
PDE6A	PFPP11		
PDGFRL	PFPP11		
PDHX	PFPP11		
PDLIM3	PFPP11		
PDPR	PFPP11		
PDXDC1	PFPP11		
PDXP	PFPP11		
PELO	PFPP11		
PES1	PFPP11		
PEX19	PFPP11		
PGAP1	PFPP11		
PGLYRP1	PFPP11		
PHPT1	PFPP11		
PHTF1	PFPP11		
PHYHIPL	PFPP11		
PIAS1	PFPP11		
PID1	PFPP11		
PIF1	PFPP11		
PIGB	PFPP11		
PIGQ	PFPP11		
PIGV	PFPP11		
PIK3C3	PFPP11		
PILRB	PFPP11		
PINLYP	PFPP11		
PIP4K2A	PFPP11		
PKM	PFPP11		
PKP4	PFPP11		
PLA2G4C	PFPP11		
PLAAT4	PFPP11		
PLAG1	PFPP11		
PLAT	PFPP11		
PLCG1	PFPP11		
PLCH2	PFPP11		
PLD1	PFPP11		
PLEKHB2	PFPP11		
PLIN2	PFPP11		
PLPBP	PFPP11		
PLPPR3	PFPP11		
PLSCR4	PFPP11		
PMM1	PFPP11		
PNN	PFPP11		
POLA2	PFPP11		
POLE3	PFPP11		
POLE4	PFPP11		
POLG2	PFPP11		
POLI	PFPP11		
POLR2I	PFPP11		
POLR2L	PFPP11		
POLR3K	PFPP11		
POU2F2	PFPP11		
PPA1	PFPP11		
PPARD	PFPP11		
PPARGC1A	PFPP11		
PPDPF	PFPP11		
PPIAL4D	PFPP11		
PPIL1	PFPP11		
PPP1R21	PFPP11		
PPP4C	PFPP11		
PPP6C	PFPP11		
PRDM11	PFPP11		
PRDM13	PFPP11		
PRELID2	PFPP11		
PRKAA2	PFPP11		
PRKAB1	PFPP11		
PRKAB2	PFPP11		
PRKCA	PFPP11		
PRLR	PFPP11		
PROM1	PFPP11		
PRPF6	PFPP11		
PRPH	PFPP11		
PRR11	PFPP11		
PRR12	PFPP11		
PRR35	PFPP11		
PRR7	PFPP11		
PRSS23	PFPP11		
PRSS45P	PFPP11		
PRSS56	PFPP11		
PRXL2A	PFPP11		
PSMC2	PFPP11		
PSMC5	PFPP11		
PSMD3	PFPP11		
PSMF1	PFPP11		
PSRC1	PFPP11		
PSTK	PFPP11		
PTGER1	PFPP11		
PTGES2	PFPP11		
PTGR2	PFPP11		
PTPDC1	PFPP11		
PTPMT1	PFPP11		
PTPRZ1	PFPP11		
PUS10	PFPP11		
PWP2	PFPP11		
PXMP2	PFPP11		
PXYLP1	PFPP11		
PYGB	PFPP11		
PYGO2	PFPP11		
QDPR	PFPP11		
QPCT	PFPP11		
QSER1	PFPP11		
QSOX2	PFPP11		
RAB18	PFPP11		
RAB20	PFPP11		
RAB2B	PFPP11		
RAB3IL1	PFPP11		
RAB4B	PFPP11		
RAB5C	PFPP11		
RABEPK	PFPP11		
RABL6	PFPP11		
RAD51B	PFPP11		
RAD52	PFPP11		
RAD54L2	PFPP11		
RAF1	PFPP11		
RAG1	PFPP11		
RAI14	PFPP11		
RALGPS1	PFPP11		
RAMP3	PFPP11		
RARS	PFPP11		
RARS2	PFPP11		
RASSF4	PFPP11		
RBAK	PFPP11		
RBIS	PFPP11		
RBM19	PFPP11		
RBM48	PFPP11		
RBM6	PFPP11		
RCAN3	PFPP11		
RCHY1	PFPP11		
RCN2	PFPP11		
REC8	PFPP11		
RECQL5	PFPP11		
RELA	PFPP11		
RETSAT	PFPP11		
RFC5	PFPP11		
RFK	PFPP11		
RFXANK	PFPP11		
RGL1	PFPP11		
RGMB	PFPP11		
RHOB	PFPP11		
RIBC2	PFPP11		
RIMS1	PFPP11		
RLN2	PFPP11		
RMND1	PFPP11		
RNF14	PFPP11		
RNF157	PFPP11		
RNF20	PFPP11		
RNF224	PFPP11		
RNF4	PFPP11		
RNFT2	PFPP11		
RNPC3	PFPP11		
ROR2	PFPP11		
RP11-141C7.4	PFPP11		
RP11-353N4.4	PFPP11		
RP11-592B15.9	PFPP11		
RP11-763B22.4	PFPP11		
RPA2	PFPP11		
RPAP1	PFPP11		
RPAP3	PFPP11		
RPGRIP1L	PFPP11		
RPL17-C18orf32	PFPP11		
RPLP1	PFPP11		
RPS3A	PFPP11		
RPS5	PFPP11		
RPS9	PFPP11		
RRP7A	PFPP11		
RSPH4A	PFPP11		
RSRP1	PFPP11		
RUBCNL	PFPP11		
RUNDC3B	PFPP11		
RXRB	PFPP11		
S100A10	PFPP11		
SAFB	PFPP11		
SART3	PFPP11		
SAXO1	PFPP11		
SCARA5	PFPP11		
SCFD2	PFPP11		
SCIN	PFPP11		
SCLY	PFPP11		
SCN11A	PFPP11		
SCUBE3	PFPP11		
SEC14L2	PFPP11		
SELENOW	PFPP11		
SEMA3A	PFPP11		
SEMA3E	PFPP11		
SEMA4G	PFPP11		
SENP2	PFPP11		
SENP6	PFPP11		
SERINC2	PFPP11		
SERP1	PFPP11		
SERPINF1	PFPP11		
SERPINH1	PFPP11		
SET	PFPP11		
SF3A3	PFPP11		
SF3B3	PFPP11		
SFTA2	PFPP11		
SFXN4	PFPP11		
SGCG	PFPP11		
SGF29	PFPP11		
SGO2	PFPP11		
SH3BGR	PFPP11		
SH3BP1	PFPP11		
SH3BP5	PFPP11		
SHANK1	PFPP11		
SHISA9	PFPP11		
SIGLEC10	PFPP11		
SIK2	PFPP11		
SIL1	PFPP11		
SIPA1L3	PFPP11		
SIRT6	PFPP11		
SKA2	PFPP11		
SLC13A4	PFPP11		
SLC19A1	PFPP11		
SLC19A2	PFPP11		
SLC22A8	PFPP11		
SLC25A3	PFPP11		
SLC25A30	PFPP11		
SLC27A1	PFPP11		
SLC27A5	PFPP11		
SLC35B3	PFPP11		
SLC35E2A	PFPP11		
SLC36A1	PFPP11		
SLC3A2	PFPP11		
SLC44A1	PFPP11		
SLC47A1	PFPP11		
SLC5A8	PFPP11		
SLC6A20	PFPP11		
SLC7A6	PFPP11		
SLC9A3R2	PFPP11		
SLC9A5	PFPP11		
SLC9B1	PFPP11		
SLCO1A2	PFPP11		
SLF2	PFPP11		
SLFN12	PFPP11		
SMAD2	PFPP11		
SMAP2	PFPP11		
SMARCE1	PFPP11		
SMC5	PFPP11		
SMCR8	PFPP11		
SMG9	PFPP11		
SMIM14	PFPP11		
SMN2	PFPP11		
SMOC1	PFPP11		
SNAI3	PFPP11		
SNAP29	PFPP11		
SND1	PFPP11		
SNED1	PFPP11		
SNORA40	PFPP11		
SNRNP25	PFPP11		
SNRNP27	PFPP11		
SNRNP40	PFPP11		
SNRPG	PFPP11		
SNTG2	PFPP11		
SNURF	PFPP11		
SNX13	PFPP11		
SNX29	PFPP11		
SNX32	PFPP11		
SOD2	PFPP11		
SOD3	PFPP11		
SOX18	PFPP11		
SP140L	PFPP11		
SPAG16	PFPP11		
SPATA2	PFPP11		
SPC25	PFPP11		
SPCS1	PFPP11		
SPDEF	PFPP11		
SPEF2	PFPP11		
SPIRE1	PFPP11		
SPIRE2	PFPP11		
SPOCD1	PFPP11		
SPTAN1	PFPP11		
SPTSSA	PFPP11		
SRGAP2	PFPP11		
SRSF12	PFPP11		
STAG3	PFPP11		
STARD5	PFPP11		
STARD6	PFPP11		
STEAP1	PFPP11		
STIMATE	PFPP11		
STK11IP	PFPP11		
STK24	PFPP11		
STPG1	PFPP11		
STRIP1	PFPP11		
STT3B	PFPP11		
STX10	PFPP11		
STX5	PFPP11		
STXBP1	PFPP11		
SULT1C2	PFPP11		
SUN1	PFPP11		
SUSD5	PFPP11		
SV2B	PFPP11		
SVOP	PFPP11		
SVOPL	PFPP11		
SWAP70	PFPP11		
SWSAP1	PFPP11		
SYCE3	PFPP11		
SYF2	PFPP11		
SYK	PFPP11		
SYT13	PFPP11		
SYT16	PFPP11		
TAC1	PFPP11		
TACC3	PFPP11		
TAF6L	PFPP11		
TAL1	PFPP11		
TANC2	PFPP11		
TARBP2	PFPP11		
TAS2R14	PFPP11		
TBC1D1	PFPP11		
TBL1XR1	PFPP11		
TBPL1	PFPP11		
TCF3	PFPP11		
TCN2	PFPP11		
TCTEX1D2	PFPP11		
TDRD6	PFPP11		
TEAD4	PFPP11		
TECPR2	PFPP11		
TEKT4	PFPP11		
TEN1	PFPP11		
TENM3	PFPP11		
TENM4	PFPP11		
TENT5A	PFPP11		
TERF2	PFPP11		
TESK2	PFPP11		
TFAM	PFPP11		
TGFA	PFPP11		
TGM3	PFPP11		
THAP4	PFPP11		
THAP9	PFPP11		
THRB	PFPP11		
THTPA	PFPP11		
TIFA	PFPP11		
TIMMDC1	PFPP11		
TINAGL1	PFPP11		
TJP1	PFPP11		
TM9SF1	PFPP11		
TMED4	PFPP11		
TMEM100	PFPP11		
TMEM106A	PFPP11		
TMEM126A	PFPP11		
TMEM127	PFPP11		
TMEM150C	PFPP11		
TMEM151B	PFPP11		
TMEM161B	PFPP11		
TMEM167B	PFPP11		
TMEM169	PFPP11		
TMEM176B	PFPP11		
TMEM179	PFPP11		
TMEM190	PFPP11		
TMEM200C	PFPP11		
TMEM201	PFPP11		
TMEM219	PFPP11		
TMEM255B	PFPP11		
TMEM45B	PFPP11		
TMEM53	PFPP11		
TMEM63B	PFPP11		
TMTC3	PFPP11		
TNFAIP2	PFPP11		
TNFRSF1B	PFPP11		
TNFSF13B	PFPP11		
TNFSF4	PFPP11		
TNKS1BP1	PFPP11		
TNNC1	PFPP11		
TNNI3K	PFPP11		
TNPO3	PFPP11		
TNS3	PFPP11		
TOMM20L	PFPP11		
TOR2A	PFPP11		
TP53I11	PFPP11		
TPD52L1	PFPP11		
TPGS1	PFPP11		
TPM2	PFPP11		
TRAPPC6B	PFPP11		
TRAPPC8	PFPP11		
TRARG1	PFPP11		
TRERF1	PFPP11		
TREX1	PFPP11		
TRIM16	PFPP11		
TRIM38	PFPP11		
TRIM66	PFPP11		
TRIM7	PFPP11		
TRIP11	PFPP11		
TRIP4	PFPP11		
TRMT112	PFPP11		
TRMT61B	PFPP11		
TRPC4	PFPP11		
TRPV3	PFPP11		
TSEN2	PFPP11		
TSEN54	PFPP11		
TSHZ3	PFPP11		
TSPAN11	PFPP11		
TTC28	PFPP11		
TTC5	PFPP11		
TTC8	PFPP11		
TTLL1	PFPP11		
TTLL3	PFPP11		
TTLL5	PFPP11		
TUB	PFPP11		
TUBB3	PFPP11		
TUBB6	PFPP11		
TUSC1	PFPP11		
TUT7	PFPP11		
TWF1	PFPP11		
TWIST1	PFPP11		
TXNDC17	PFPP11		
TXNL1	PFPP11		
UBC	PFPP11		
UBE2F-SCLY	PFPP11		
UBE2M	PFPP11		
UBE4A	PFPP11		
UBN2	PFPP11		
UBXN2B	PFPP11		
UBXN6	PFPP11		
UCKL1	PFPP11		
UCP2	PFPP11		
UEVLD	PFPP11		
UFSP2	PFPP11		
UNC13D	PFPP11		
UNC45A	PFPP11		
UNC45B	PFPP11		
UPF2	PFPP11		
UPF3A	PFPP11		
USP18	PFPP11		
USP53	PFPP11		
UTP18	PFPP11		
VAMP2	PFPP11		
VARS2	PFPP11		
VGLL4	PFPP11		
VKORC1L1	PFPP11		
VPS51	PFPP11		
VRK2	PFPP11		
VSTM2B	PFPP11		
VWDE	PFPP11		
VWF	PFPP11		
WASHC2A	PFPP11		
WASHC2C	PFPP11		
WBP11	PFPP11		
WDR33	PFPP11		
WDR4	PFPP11		
WDR59	PFPP11		
WDR76	PFPP11		
WDR83OS	PFPP11		
WIPI1	PFPP11		
WNT10A	PFPP11		
WNT4	PFPP11		
WRAP73	PFPP11		
WRNIP1	PFPP11		
WSCD2	PFPP11		
WWP1	PFPP11		
XDH	PFPP11		
XPNPEP1	PFPP11		
XPNPEP3	PFPP11		
YLPM1	PFPP11		
YPEL3	PFPP11		
YWHAE	PFPP11		
YWHAH	PFPP11		
ZBED5	PFPP11		
ZBTB17	PFPP11		
ZBTB47	PFPP11		
ZC3H4	PFPP11		
ZDHHC18	PFPP11		
ZDHHC7	PFPP11		
ZFHX2	PFPP11		
ZFP30	PFPP11		
ZFR2	PFPP11		
ZIC2	PFPP11		
ZMAT4	PFPP11		
ZMYM2	PFPP11		
ZNF138	PFPP11		
ZNF195	PFPP11		
ZNF20	PFPP11		
ZNF205	PFPP11		
ZNF208	PFPP11		
ZNF22	PFPP11		
ZNF233	PFPP11		
ZNF273	PFPP11		
ZNF33B	PFPP11		
ZNF343	PFPP11		
ZNF404	PFPP11		
ZNF420	PFPP11		
ZNF429	PFPP11		
ZNF433	PFPP11		
ZNF492	PFPP11		
ZNF510	PFPP11		
ZNF514	PFPP11		
ZNF527	PFPP11		
ZNF540	PFPP11		
ZNF549	PFPP11		
ZNF57	PFPP11		
ZNF581	PFPP11		
ZNF609	PFPP11		
ZNF615	PFPP11		
ZNF626	PFPP11		
ZNF644	PFPP11		
ZNF665	PFPP11		
ZNF676	PFPP11		
ZNF721	PFPP11		
ZNF746	PFPP11		
ZNF765	PFPP11		
ZNF770	PFPP11		
ZNF773	PFPP11		
ZNF846	PFPP11		
ZNF880	PFPP11		
ZNRD2	PFPP11		
ZSCAN1	PFPP11		
ZSWIM5	PFPP11		
ZW10	PFPP11		
ZXDC	PFPP11		
ADAM19	FPP_11	NB	
ADGRB1	FPP_11	NB	
ALAD	FPP_11	NB	
ANKRD65	FPP_11	NB	
ARHGAP35	FPP_11	NB	
ATN1	FPP_11	NB	
BCAS2	FPP_11	NB	
BFAR	FPP_11	NB	
BTBD9	FPP_11	NB	
C19orf48	FPP_11	NB	
C6orf89	FPP_11	NB	
CCDC130	FPP_11	NB	
CETN3	FPP_11	NB	
CIAO1	FPP_11	NB	
CNDP2	FPP_11	NB	
DPM2	FPP_11	NB	
DTD2	FPP_11	NB	
EARS2	FPP_11	NB	
EIF2B2	FPP_11	NB	
ESYT1	FPP_11	NB	
FAM174B	FPP_11	NB	
FAM210B	FPP_11	NB	
FBXO28	FPP_11	NB	
GRIA4	FPP_11	NB	
HAPLN2	FPP_11	NB	
HIST1H1C	FPP_11	NB	
HYKK	FPP_11	NB	
IMPA1	FPP_11	NB	
INHA	FPP_11	NB	
KANSL1L	FPP_11	NB	
KLHL18	FPP_11	NB	
KLHL26	FPP_11	NB	
LDHB	FPP_11	NB	
LRRC37A3	FPP_11	NB	
MAP3K6	FPP_11	NB	
MKS1	FPP_11	NB	
MRPL47	FPP_11	NB	
MSRA	FPP_11	NB	
MTRNR2L12	FPP_11	NB	
MYO15B	FPP_11	NB	
NHSL1	FPP_11	NB	
NIP7	FPP_11	NB	
NUP153	FPP_11	NB	
NUP205	FPP_11	NB	
PLEKHH1	FPP_11	NB	
POMT1	FPP_11	NB	
PRSS33	FPP_11	NB	
PYURF	FPP_11	NB	
RCBTB1	FPP_11	NB	
RHOT1	FPP_11	NB	
SEMA4C	FPP_11	NB	
SEMA5B	FPP_11	NB	
SEZ6L2	FPP_11	NB	
SKIL	FPP_11	NB	
SLC25A28	FPP_11	NB	
SPPL2A	FPP_11	NB	
SRPK2	FPP_11	NB	
TMEM209	FPP_11	NB	
TMEM8B	FPP_11	NB	
TNXB	FPP_11	NB	
TRIM5	FPP_11	NB	
VPS28	FPP_11	NB	
ZDHHC5	FPP_11	NB	
ZFAND2B	FPP_11	NB	
ZFP37	FPP_11	NB	
ZNF200	FPP_11	NB	
